trial_id,date,model_config,checkpoint_step,outcome,time_to_completion_sec,safety_clamp_events,avg_loop_latency_ms,stop_reason,notes,video_filename
1,2026-09-10T20:20:34,2cam,50000,timeout_no_touch,180.24,135,376.2,timeout,,trial_001_side.mp4
2,2026-09-10T20:23:57,2cam,50000,timeout_no_touch,180.29,134,359.0,timeout,,trial_002_side.mp4
3,2026-09-10T20:46:32,2cam,50000,timeout_no_touch,180.5,93,360.2,timeout,,trial_003_side.mp4
4,2026-09-11T18:46:31,2cam,50000,timeout_no_touch,180.03,514,145.8,timeout,,trial_004_side.mp4
5,2026-09-11T18:51:06,2cam,50000,timeout_no_touch,180.2,113,147.8,timeout,,trial_005_side.mp4
6,2026-09-11T18:54:35,2cam,50000,timeout_no_touch,180.12,199,146.6,timeout,,trial_006_side.mp4
7,2026-09-11T18:58:02,2cam,50000,timeout_no_touch,180.1,312,146.0,timeout,,trial_007_side.mp4
8,2026-09-11T19:03:58,2cam,50000,timeout_no_touch,180.06,795,146.4,timeout,,trial_008_side.mp4
9,2026-09-11T19:10:51,2cam,50000,timeout_no_touch,180.07,195,149.0,timeout,,trial_009_side.mp4
10,2026-09-11T19:20:28,2cam,50000,timeout_no_touch,180.04,115,148.1,timeout,,trial_010_side.mp4
11,2026-09-11T19:24:54,2cam,50000,timeout_object_oob,180.14,243,144.6,timeout,,trial_011_side.mp4
12,2026-09-11T19:28:20,2cam,50000,timeout_no_touch,180.1,227,147.2,timeout,,trial_012_side.mp4
13,2026-09-11T19:32:13,2cam,50000,timeout_grasped,180.13,283,147.8,timeout,,trial_013_side.mp4
14,2026-09-11T19:35:50,2cam,50000,timeout_no_touch,180.05,176,144.1,timeout,,trial_014_side.mp4
15,2026-09-11T19:39:17,2cam,50000,timeout_no_touch,180.1,344,140.6,timeout,,trial_015_side.mp4
16,2026-09-11T19:42:44,2cam,50000,timeout_object_oob,180.25,706,144.0,timeout,,trial_016_side.mp4
17,2026-09-11T19:44:32,2cam,50000,full_success,84.68,200,146.2,manual_end,,trial_017_side.mp4
18,2026-09-11T19:47:59,2cam,50000,timeout_object_oob,180.06,1030,139.1,timeout,,trial_018_side.mp4
19,2026-09-11T19:53:10,2cam,50000,timeout_no_touch,180.35,346,144.1,timeout,,trial_019_side.mp4
20,2026-09-11T19:56:46,2cam,50000,timeout_object_oob,180.02,427,143.3,timeout,,trial_020_side.mp4
21,2026-09-11T20:00:27,2cam,50000,timeout_no_touch,180.07,190,146.8,timeout,,trial_021_side.mp4
22,2026-09-11T20:03:54,2cam,50000,timeout_grasped,180.01,468,138.9,timeout,,trial_022_side.mp4
23,2026-09-11T20:40:26,2cam,50000,timeout_no_touch,180.08,201,138.9,timeout,,trial_023_side.mp4
24,2026-09-12T14:10:43,2cam,50000,timeout_no_touch,180.07,170,148.0,timeout,,trial_024_side.mp4
25,2026-09-12T14:14:17,2cam,50000,timeout_no_touch,180.07,1212,146.6,timeout,,trial_025_side.mp4
26,2026-09-12T14:17:53,2cam,50000,timeout_no_touch,180.16,492,149.3,timeout,,trial_026_side.mp4
27,2026-09-12T14:21:32,2cam,50000,timeout_no_touch,180.07,114,149.7,timeout,,trial_027_side.mp4
28,2026-09-12T14:25:02,2cam,50000,timeout_no_touch,180.0,328,149.9,timeout,,trial_028_side.mp4
29,2026-09-12T14:28:29,2cam,50000,timeout_no_touch,180.07,1179,147.6,timeout,,trial_029_side.mp4
30,2026-09-12T14:32:12,2cam,50000,timeout_no_touch,180.03,69,151.7,timeout,,trial_030_side.mp4
31,2026-09-12T14:35:51,2cam,50000,timeout_no_touch,180.02,168,149.8,timeout,,trial_031_side.mp4
32,2026-09-12T15:05:09,2cam,50000,timeout_no_touch,180.17,993,149.9,timeout,,trial_032_side.mp4
33,2026-09-12T15:09:43,2cam,50000,timeout_no_touch,180.04,495,152.1,timeout,,trial_033_side.mp4
34,2026-09-12T15:13:46,2cam,50000,timeout_no_touch,180.03,139,147.5,timeout,,trial_034_side.mp4
35,2026-09-12T15:17:17,2cam,50000,timeout_grasped,180.11,110,144.9,timeout,,trial_035_side.mp4
36,2026-09-12T15:21:01,2cam,50000,timeout_no_touch,180.02,1221,142.5,timeout,,trial_036_side.mp4
37,2026-09-12T15:24:51,2cam,50000,timeout_no_touch,180.11,88,143.1,timeout,,trial_037_side.mp4
38,2026-09-12T15:28:25,2cam,50000,timeout_no_touch,180.04,359,144.7,timeout,,trial_038_side.mp4
39,2026-09-12T15:32:22,2cam,50000,timeout_no_touch,180.1,1194,149.6,timeout,,trial_039_side.mp4
40,2026-09-12T15:36:13,2cam,50000,timeout_grasped,180.07,65,143.1,timeout,,trial_040_side.mp4
41,2026-09-12T15:39:37,2cam,50000,timeout_grasped,180.02,168,146.7,timeout,,trial_041_side.mp4
42,2026-09-12T15:43:03,2cam,50000,timeout_no_touch,180.03,1251,143.1,timeout,,trial_042_side.mp4
43,2026-09-12T15:46:38,2cam,50000,timeout_no_touch,180.04,51,142.9,timeout,,trial_043_side.mp4
44,2026-09-12T15:52:30,2cam,50000,timeout_no_touch,181.15,0,144.7,timeout,,trial_044_side.mp4
