trial_id,date,model_config,checkpoint_step,outcome,time_to_completion_sec,safety_clamp_events,avg_loop_latency_ms,stop_reason,notes,video_filename
1,2026-08-28T19:41:56,side_claw,20000,timeout_success_slow,180.37,0,443.1,timeout,,trial_001_side.mp4
2,2026-08-28T19:45:22,side_claw,20000,timeout_no_touch,180.37,2,488.7,timeout,,trial_002_side.mp4
3,2026-08-28T19:48:53,side_claw,20000,timeout_success_slow,180.07,0,714.5,timeout,,trial_003_side.mp4
4,2026-08-28T19:52:32,side_claw,20000,timeout_grasped,180.21,0,693.0,timeout,,trial_004_side.mp4
5,2026-08-28T19:55:59,side_claw,20000,timeout_no_touch,181.07,1,704.5,timeout,,trial_005_side.mp4
6,2026-08-28T19:59:56,side_claw,20000,timeout_grasped,180.24,0,729.6,timeout,,trial_006_side.mp4
7,2026-08-28T20:04:02,side_claw,20000,timeout_no_touch,180.15,0,559.4,timeout,,trial_007_side.mp4
8,2026-08-28T20:07:01,side_claw,20000,full_success,137.89,0,410.3,manual_end,,trial_008_side.mp4
9,2026-08-28T20:09:05,side_claw,20000,grasp_only,69.3,0,452.8,manual_end,,trial_009_side.mp4
10,2026-08-28T20:12:19,side_claw,20000,full_success,179.76,0,485.7,manual_end,,trial_010_side.mp4
11,2026-08-28T20:15:46,side_claw,20000,timeout_no_touch,181.39,0,455.7,timeout,,trial_011_side.mp4
12,2026-08-28T20:19:11,side_claw,20000,timeout_success_slow,180.85,2,528.7,timeout,,trial_012_side.mp4
13,2026-08-28T20:25:36,side_claw,20000,timeout_grasped,180.35,0,469.5,timeout,,trial_013_side.mp4
15,2026-08-28T20:33:51,side_claw,20000,full_success,137.39,7,235.3,manual_end,,trial_015_side.mp4
16,2026-08-28T20:38:17,side_claw,20000,timeout_no_touch,180.1,1,150.9,timeout,,trial_016_side.mp4
17,2026-08-28T20:52:43,side_claw,20000,timeout_no_touch,180.02,0,147.7,timeout,,trial_017_side.mp4
18,2026-08-30T11:20:12,side_claw,20000,full_success,86.24,5,147.3,manual_end,,trial_018_side.mp4
19,2026-08-30T11:24:08,side_claw,20000,full_success,70.52,1,142.4,manual_end,,trial_019_side.mp4
20,2026-08-30T11:27:44,side_claw,20000,timeout_no_touch,180.05,0,146.0,timeout,,trial_020_side.mp4
21,2026-08-30T11:38:27,side_claw,20000,timeout_no_touch,180.19,0,138.4,timeout,,trial_021_side.mp4
22,2026-08-30T11:42:12,side_claw,20000,timeout_no_touch,180.04,4,140.8,timeout,,trial_022_side.mp4
23,2026-08-30T11:51:37,side_claw,20000,timeout_no_touch,180.09,2,145.8,timeout,,trial_023_side.mp4
24,2026-08-30T11:56:06,side_claw,20000,timeout_no_touch,180.63,4,144.3,timeout,,trial_024_side.mp4
25,2026-08-30T11:57:34,side_claw,20000,full_success,52.7,2,162.1,manual_end,,trial_025_side.mp4
26,2026-08-30T12:02:22,side_claw,20000,timeout_no_touch,180.11,1,144.9,timeout,,trial_026_side.mp4
